0:00:19.844763644 ::: s22_client [INFO] > S22 update : Unknown (f1) [47, f, 45, f, 45, f, 47, f, 45, f, 45, f, 45, f] [2, 5a, 5a]
0:00:20.324684954 ::: s22_client [INFO] > S22 update : Unknown (f1) [47, f, 47, f, 47, f, 47, f, 47, f, 48, f, 47, f] [3, 5a, 5a]
0:00:20.804703975 ::: s22_client [INFO] > S22 update : Unknown (f1) [47, f, 52, f, 52, f, 52, f, 50, f, 52, f, 52, f] [4, 5a, 5a]
0:00:21.284608907 ::: s22_client [INFO] > S22 update : Unknown (f1) [52, f, 52, f, 53, f, 52, f, 52, f, 52, f, 53, f] [5, 5a, 5a]
0:00:21.764739567 ::: s22_client [INFO] > S22 update : Unknown (f1) [53, f, 50, f, 0, 0, 0, 0, 9b, b, 0, 0, 0, 0] [6, 5a, 5a]
0:00:22.244626037 ::: s22_client [INFO] > S22 update : Unknown (f2) [cc, 2d, 0, 0, c4, 2, e8, 3, 0, 0, e8, 3, 4a, f] [0, 5a, 5a]
0:00:22.744668457 ::: s22_client [INFO] > S22 update : Unknown (f2) [8a, b, 8e, b, 8c, b, 94, b, ad, b, 8f, b, 9b, b] [1, 5a, 5a]
0:00:23.224676171 ::: s22_client [INFO] > S22 update : Unknown (f2) [48, f, 4a, f, 4a, f, 4a, f, 4a, f, 4a, f, 4a, f] [2, 5a, 5a]
0:00:23.704654415 ::: s22_client [INFO] > S22 update : Unknown (f2) [4a, f, 4b, f, 48, f, 4a, f, 4b, f, 4a, f, 4a, f] [3, 5a, 5a]
...
0:00:00.193952445 ::: s22_client [INFO] > S22 update : Unknown (f5) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0] [14, 5a, 5a]
0:00:00.290766371 ::: s22_client [INFO] > S22 update : Unknown (f6) [d0, 7, 0, 0, 0, 0, 79, 47, 0, 0, 53, 0, 0, 0] [14, 5a, 5a]
0:00:00.350563946 ::: s22_client [INFO] > S22 update : Unknown (c9) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [14, 5a, 5a]
0:00:00.430683775 ::: s22_client [INFO] > S22 update : Unknown (f1) [50, f, 52, f, 52, f, 52, f, 52, f, 52, f, 52, f] [5, 5a, 5a]
0:00:00.910715950 ::: s22_client [INFO] > S22 update : Unknown (f1) [52, f, 50, f, 0, 0, 0, 0, 9b, b, 0, 0, 0, 0] [6, 5a, 5a]
0:00:01.434015450 ::: s22_client [INFO] > S22 update : Unknown (f2) [c9, 2d, 0, 0, c4, 2, e8, 3, 0, 0, e8, 3, 48, f] [0, 5a, 5a]
0:00:01.874016949 ::: s22_client [INFO] > S22 update : Unknown (f2) [8a, b, 8f, b, 8d, b, 95, b, ae, b, 8f, b, 9b, b] [1, 5a, 5a]
0:00:02.354017632 ::: s22_client [INFO] > S22 update : Unknown (f2) [48, f, 4a, f, 48, f, 4a, f, 48, f, 48, f, 48, f] [2, 5a, 5a]
0:00:02.830622003 ::: s22_client [INFO] > S22 update : Unknown (f2) [48, f, 4a, f, 48, f, 4a, f, 4b, f, 4a, f, 4a, f] [3, 5a, 5a]
0:00:03.330683920 ::: s22_client [INFO] > S22 update : Unknown (f2) [48, f, 3d, f, 3d, f, 3d, f, 3f, f, 3d, f, 3d, f] [4, 5a, 5a]
0:00:03.570663214 ::: s22_client [INFO] > S22 update : Unknown (f5) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0] [14, 5a, 5a]
0:00:03.810686159 ::: s22_client [INFO] > S22 update : Unknown (f2) [3f, f, 3f, f, 3d, f, 3d, f, 3d, f, 3d, f, 3f, f] [5, 5a, 5a]
0:00:04.054097613 ::: s22_client [INFO] > S22 update : Unknown (f5) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0] [14, 5a, 5a]
0:00:04.290700221 ::: s22_client [INFO] > S22 update : Unknown (f2) [3f, f, 3f, f, 0, 0, 0, 0, 9e, b, 0, 0, 0, 0] [6, 5a, 5a]
0:00:04.770751167 ::: s22_client [INFO] > S22 update : Unknown (f3) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [0, 5a, 5a]
0:00:05.250547880 ::: s22_client [INFO] > S22 update : Unknown (f3) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [1, 5a, 5a]
0:00:05.733762981 ::: s22_client [INFO] > S22 update : Unknown (f3) [0, 0, 0, 0, 0, 0, 46, 10, 0, 0, 0, 0, 0, 0] [2, 5a, 5a]
0:00:06.234064278 ::: s22_client [INFO] > S22 update : Unknown (f3) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [3, 5a, 5a]
0:00:06.710661359 ::: s22_client [INFO] > S22 update : Unknown (f4) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [0, 5a, 5a]
0:00:07.190654507 ::: s22_client [INFO] > S22 update : Unknown (f4) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [1, 5a, 5a]
0:00:07.670493887 ::: s22_client [INFO] > S22 update : Unknown (f4) [0, 0, 0, 0, 0, 0, 46, 10, 0, 0, 0, 0, 0, 0] [2, 5a, 5a]
0:00:08.150530502 ::: s22_client [INFO] > S22 update : Unknown (f4) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [3, 5a, 5a]
0:00:08.633902246 ::: s22_client [INFO] > S22 update : Unknown (f1) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [b0, 5a, 5a]
0:00:09.130434132 ::: s22_client [INFO] > S22 update : Unknown (f2) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [b0, 5a, 5a]
0:00:09.610382082 ::: s22_client [INFO] > S22 update : Unknown (f1) [e2, 2d, 0, 0, ca, 2, e8, 3, 0, 0, e8, 3, 45, f] [0, 5a, 5a]
0:00:10.093945087 ::: s22_client [INFO] > S22 update : Unknown (f1) [8e, b, 91, b, 8e, b, 94, b, b1, b, 98, b, 9b, b] [1, 5a, 5a]
0:00:10.573839646 ::: s22_client [INFO] > S22 update : Unknown (f1) [45, f, 45, f, 45, f, 45, f, 45, f, 43, f, 45, f] [2, 5a, 5a]
0:00:11.050473856 ::: s22_client [INFO] > S22 update : Unknown (f1) [45, f, 45, f, 45, f, 47, f, 45, f, 47, f, 47, f] [3, 5a, 5a]
